date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:15	34927/34927	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/why-us.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/why-us.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:15	28407/28407	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:42%20GMT	http://wwsthemes.com/themes/medwise/v1.3/process.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/process.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:15	25603/25603	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:43%20GMT	http://wwsthemes.com/themes/medwise/v1.3/features.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/features.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:16	21884/21884	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:46%20GMT	http://wwsthemes.com/themes/medwise/v1.3/testimonials.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/testimonials.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:16	34337/34337	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/careers.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/careers.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:16	27805/27805	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/gallery.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/gallery.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:17	25919/25919	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:46%20GMT	http://wwsthemes.com/themes/medwise/v1.3/events.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/events.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:17	25385/25385	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/download-app.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/download-app.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:18	28711/28711	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:45%20GMT	http://wwsthemes.com/themes/medwise/v1.3/pricing-tables.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/pricing-tables.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
23:24:18	23603/23603	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2013:34:46%20GMT	http://wwsthemes.com/themes/medwise/v1.3/offers.html	C:/Mes%20Sites%20Web/WEB/wwsthemes.com/themes/medwise/v1.3/offers.html	(from http://wwsthemes.com/themes/medwise/v1.3/home-version-1.html)
